unnamed: 0,job title,job type,company name,posted date,cities,states,stipend,start date,duration,numer of openings,late date to apply,combined_text
10,CIVIL ENGINEER (INTERN),Full Time,Thrissur Municipal Corporation,18-06-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,1.0,25-01-2025,CIVIL ENGINEER (INTERN) Thrissur Municipal Corporation Thrissur Kerala 10000 /month 6 Months
11,"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS",Full Time,Alappuzha Municipality,25-06-2024,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1.0,30-07-2024,"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS Alappuzha Municipality Alappuzha Kerala 10000 /month 6 Months"
12,INTERNSHIP UNDER TULIP SCHEME IN AMRUT CELL,Full Time,Punjab Municipal Infrastructure Development Company,25-06-2024,Chandigarh,Punjab,12000 /month,Immediately,6 Months,1.0,28-06-2024,INTERNSHIP UNDER TULIP SCHEME IN AMRUT CELL Punjab Municipal Infrastructure Development Company Chandigarh Punjab 12000 /month 6 Months
13,WATER AND WASTE WATER,Full Time,Kozhikode Municipal Corporation,01-07-2024,Calicut,Kerala,10000 /month,Immediately,12 Months,1.0,07-09-2024,WATER AND WASTE WATER Kozhikode Municipal Corporation Calicut Kerala 10000 /month 12 Months
14,URBAN PLANNING  (INTERN),Full Time,Kozhikode Municipal Corporation,01-07-2024,Calicut,Kerala,10000 /month,Immediately,12 Months,1.0,07-09-2024,URBAN PLANNING  (INTERN) Kozhikode Municipal Corporation Calicut Kerala 10000 /month 12 Months
15,MUNICIPAL FINANCE,Full Time,Kozhikode Municipal Corporation,01-07-2024,Calicut,Kerala,10000 /month,Immediately,12 Months,1.0,07-09-2024,MUNICIPAL FINANCE Kozhikode Municipal Corporation Calicut Kerala 10000 /month 12 Months
16,MUNICIPAL FINANCE,Full Time,Guruvayur Municipality,22-07-2024,Guruvayur,Kerala,10000 /month,Immediately,6 Months,1.0,03-08-2024,MUNICIPAL FINANCE Guruvayur Municipality Guruvayur Kerala 10000 /month 6 Months
17,WATER AND WASTE WATER,Full Time,Guruvayur Municipality,22-07-2024,Guruvayur,Kerala,10000 /month,Immediately,6 Months,2.0,03-08-2024,WATER AND WASTE WATER Guruvayur Municipality Guruvayur Kerala 10000 /month 6 Months
18,WATER AND WASTE WATER TREATMENT,Full Time,Alappuzha Municipality,22-07-2024,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1.0,06-08-2024,WATER AND WASTE WATER TREATMENT Alappuzha Municipality Alappuzha Kerala 10000 /month 6 Months
19,FINANCE INTERN,Full Time,Thrissur Municipal Corporation,05-08-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,1.0,12-08-2024,FINANCE INTERN Thrissur Municipal Corporation Thrissur Kerala 10000 /month 6 Months
20,CIVIL ENGINEER (INTERN),Full Time,Thrissur Municipal Corporation,05-08-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,1.0,12-08-2024,CIVIL ENGINEER (INTERN) Thrissur Municipal Corporation Thrissur Kerala 10000 /month 6 Months
21,WATER AND WASTE WATER TREATMENT,Full Time,"State Mission Management Unit, AMRUT Kerala",13-08-2024,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,6.0,30-09-2024,"WATER AND WASTE WATER TREATMENT State Mission Management Unit, AMRUT Kerala Thiruvananthapuram Kerala 10000 /month 6 Months"
22,IT AND E-GOVERNANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",13-08-2024,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,2.0,31-08-2024,"IT AND E-GOVERNANCE State Mission Management Unit, AMRUT Kerala Thiruvananthapuram Kerala 10000 /month 6 Months"
23,CAPACITY BUILDING AND URBAN REFORMS,Full Time,"State Mission Management Unit, AMRUT Kerala",13-08-2024,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1.0,30-09-2024,"CAPACITY BUILDING AND URBAN REFORMS State Mission Management Unit, AMRUT Kerala Thiruvananthapuram Kerala 10000 /month 6 Months"
24,MUNICIPAL FINANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",13-08-2024,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1.0,30-09-2024,"MUNICIPAL FINANCE State Mission Management Unit, AMRUT Kerala Thiruvananthapuram Kerala 10000 /month 6 Months"
25,CIVIL ENGINEER (INTERN),Full Time,MUNCIPAL COUNCIL SUNDERNAGAR,03-10-2024,Sundernagar,Himachal Pradesh,10000 /month,Immediately,12 Months,2.0,13-10-2024,CIVIL ENGINEER (INTERN) MUNCIPAL COUNCIL SUNDERNAGAR Sundernagar Himachal Pradesh 10000 /month 12 Months
26,"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS",Full Time,Alappuzha Municipality,10-10-2024,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1.0,31-10-2024,"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS Alappuzha Municipality Alappuzha Kerala 10000 /month 6 Months"
27,URBAN PLANNER (INTERN),Full Time,Guruvayur Municipality,29-11-2024,Guruvayur,Kerala,10000 /month,Immediately,12 Months,1.0,03-12-2024,URBAN PLANNER (INTERN) Guruvayur Municipality Guruvayur Kerala 10000 /month 12 Months
28,WATER AND WASTE WATER TREATMENT,Full Time,Thrissur Municipal Corporation,13-12-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,2.0,27-12-2024,WATER AND WASTE WATER TREATMENT Thrissur Municipal Corporation Thrissur Kerala 10000 /month 6 Months
29,WATER AND WASTE WATER,Full Time,Kollam Municipal Corporation,19-12-2024,Kollam,Kerala,10000 /month,Immediately,12 Months,2.0,15-02-2025,WATER AND WASTE WATER Kollam Municipal Corporation Kollam Kerala 10000 /month 12 Months
30,E-GOVERNANCE INTERNS IN MSEVA PROJECT OF PMIDC,Full Time,Punjab Municipal Infrastructure Development Company,01-01-2025,Chandigarh,Punjab,12000 /month,Immediately,6 Months,2.0,18-02-2025,E-GOVERNANCE INTERNS IN MSEVA PROJECT OF PMIDC Punjab Municipal Infrastructure Development Company Chandigarh Punjab 12000 /month 6 Months
31,CIVIL ENGINEER (INTERN),Full Time,Thrissur Municipal Corporation,14-01-2025,Thrissur,Kerala,10000 /month,Immediately,6 Months,1.0,25-01-2025,CIVIL ENGINEER (INTERN) Thrissur Municipal Corporation Thrissur Kerala 10000 /month 6 Months
32,MUNICIPAL FINANCE,Full Time,Alappuzha Municipality,11-02-2025,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1.0,19-02-2025,MUNICIPAL FINANCE Alappuzha Municipality Alappuzha Kerala 10000 /month 6 Months
33,"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS",Full Time,Alappuzha Municipality,15-03-2025,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1.0,21-03-2025,"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS Alappuzha Municipality Alappuzha Kerala 10000 /month 6 Months"
34,WATER AND WASTE WATER TREATMENT,Full Time,Alappuzha Municipality,15-03-2025,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1.0,21-03-2025,WATER AND WASTE WATER TREATMENT Alappuzha Municipality Alappuzha Kerala 10000 /month 6 Months
35,WATER AND WASTE WATER,Full Time,Kannur Municipal Corporation,14-05-2025,Kannur,Kerala,10000 /month,Immediately,12 Months,1.0,03-06-2025,WATER AND WASTE WATER Kannur Municipal Corporation Kannur Kerala 10000 /month 12 Months
36,URBAN PLANNING  (INTERN),Full Time,Kannur Municipal Corporation,14-05-2025,Kannur,Kerala,10000 /month,Immediately,12 Months,1.0,03-06-2025,URBAN PLANNING  (INTERN) Kannur Municipal Corporation Kannur Kerala 10000 /month 12 Months
37,WATER AND WASTEWATER TREATMENT,Full Time,"State Mission Management Unit, AMRUT Kerala",24-05-2025,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,4.0,14-07-2025,"WATER AND WASTEWATER TREATMENT State Mission Management Unit, AMRUT Kerala Thiruvananthapuram Kerala 10000 /month 6 Months"
38,IT AND E-GOVERNANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",24-05-2025,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1.0,16-06-2025,"IT AND E-GOVERNANCE State Mission Management Unit, AMRUT Kerala Thiruvananthapuram Kerala 10000 /month 6 Months"
39,ODISHA URBAN ACADEMY,Full Time,Housing and Urban development Department Odisha,24-06-2025,Bhubaneswar,Odisha,15000 /month,Immediately,12 Months,1.0,24-06-2025,ODISHA URBAN ACADEMY Housing and Urban development Department Odisha Bhubaneswar Odisha 15000 /month 12 Months
40,WATER AND WASTE WATER,Full Time,Thrissur Municipal Corporation,30-06-2025,Thrissur,Kerala,10000 /month,Immediately,6 Months,2.0,10-07-2025,WATER AND WASTE WATER Thrissur Municipal Corporation Thrissur Kerala 10000 /month 6 Months
41,FINANCE INTERN,Full Time,Thrissur Municipal Corporation,30-06-2025,Thrissur,Kerala,10000 /month,Immediately,6 Months,1.0,10-07-2025,FINANCE INTERN Thrissur Municipal Corporation Thrissur Kerala 10000 /month 6 Months
42,WATER AND WASTE WATER,Full Time,Guruvayur Municipality,30-06-2025,Guruvayur,Kerala,10000 /month,Immediately,6 Months,2.0,12-07-2025,WATER AND WASTE WATER Guruvayur Municipality Guruvayur Kerala 10000 /month 6 Months
43,DAY-NULM WEBSITE DESIGN WITH INTERACTIVE DASHBOARD & MOBILE APPLICATION DEVELOPMENT,Full Time,DAY NULM,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,60.0,17-07-2023,DAY-NULM WEBSITE DESIGN WITH INTERACTIVE DASHBOARD & MOBILE APPLICATION DEVELOPMENT DAY NULM New Delhi Delhi Unpaid 2 Months
44,DAYNULM- MOBILE APPLICATION ANDROID DEVELOPER,Part Time,DAY NULM,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,50.0,10-04-2023,DAYNULM- MOBILE APPLICATION ANDROID DEVELOPER DAY NULM New Delhi Delhi Unpaid 2 Months
45,DAY NULM ENTERPRENEURSHIP DEVELOPMENT,Full Time,DAY NULM,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,50.0,02-08-2023,DAY NULM ENTERPRENEURSHIP DEVELOPMENT DAY NULM New Delhi Delhi Unpaid 2 Months
46,DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION,Full Time,DAY NULM,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,50.0,19-07-2023,DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION DAY NULM New Delhi Delhi Unpaid 2 Months
47,ANALYSIS OF BEST PRACTICES OF URBAN POVERTY ALLEVATION  AND ANLYSING THE FEASIBILITY OF THEIR IMPLEMENTATION,Full Time,DAY NULM,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,50.0,10-04-2023,ANALYSIS OF BEST PRACTICES OF URBAN POVERTY ALLEVATION  AND ANLYSING THE FEASIBILITY OF THEIR IMPLEMENTATION DAY NULM New Delhi Delhi Unpaid 2 Months
48,DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION,Full Time,Urban Development and Housing Department,10-04-2023,Nabinagar,Bihar,Unpaid,Immediately,2 Months,2.0,24-04-2023,DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION Urban Development and Housing Department Nabinagar Bihar Unpaid 2 Months
49,DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION,Full Time,NAGAR PANCHAYAT ETAPALLI,10-05-2023,Etapalli,Maharashtra,10000 /month,Immediately,6 Months,1.0,10-06-2023,DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION NAGAR PANCHAYAT ETAPALLI Etapalli Maharashtra 10000 /month 6 Months
50,SUSTAINABLE AND HOLISTIC DEVELOPMENT OF CITY LIVELIHOOD CENTE,Full Time,Deendayal Antyodaya Yojna National Urban Livelihood Mission Goalpara MB Assam,10-05-2023,Goalpara,Assam,Unpaid,Immediately,1 Months,3.0,15-08-2024,SUSTAINABLE AND HOLISTIC DEVELOPMENT OF CITY LIVELIHOOD CENTE Deendayal Antyodaya Yojna National Urban Livelihood Mission Goalpara MB Assam Goalpara Assam Unpaid 1 Months
51,SOCIAL WORK INTERN,Full Time,Nagar Palika Parishad Bijapur,10-05-2023,Bijapur,Chhattisgarh,Unpaid,Immediately,8 Weeks,3.0,15-09-2024,SOCIAL WORK INTERN Nagar Palika Parishad Bijapur Bijapur Chhattisgarh Unpaid 8 Weeks
52,ENTREPRENEURSHIP DEVELOPMENT INTERN,Full Time,DAY NULM CMMU BONGAIGAON,11-05-2023,Bongaigaon,Assam,Unpaid,Immediately,8 Weeks,1.0,31-05-2023,ENTREPRENEURSHIP DEVELOPMENT INTERN DAY NULM CMMU BONGAIGAON Bongaigaon Assam Unpaid 8 Weeks
53,SOCIAL MOBILIZER,Full Time,CITY MISSION MANAGEMENT UNIT DAY NULM JORHAT,12-05-2023,Jorhat,Assam,Unpaid,Immediately,6 Months,2.0,09-02-2024,SOCIAL MOBILIZER CITY MISSION MANAGEMENT UNIT DAY NULM JORHAT Jorhat Assam Unpaid 6 Months
54,SOCIAL MEDIA EXPERT,Full Time,CITY MISSION MANAGEMENT UNIT DAY NULM JORHAT,12-05-2023,Jorhat,Assam,Unpaid,Immediately,8 Weeks,1.0,31-07-2023,SOCIAL MEDIA EXPERT CITY MISSION MANAGEMENT UNIT DAY NULM JORHAT Jorhat Assam Unpaid 8 Weeks
55,SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Full Time,DAY NULM KOKRAJHAR ASSAM,12-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2.0,25-05-2023,SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE) DAY NULM KOKRAJHAR ASSAM Kokrajhar Assam Unpaid 3 Months
56,CITY LIVELIHOOD CENTRE OF DAY-NULM AND DESIGNING VENDING ZONE,Full Time,DAY NULM KOKRAJHAR ASSAM,12-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2.0,25-05-2023,CITY LIVELIHOOD CENTRE OF DAY-NULM AND DESIGNING VENDING ZONE DAY NULM KOKRAJHAR ASSAM Kokrajhar Assam Unpaid 3 Months
57,MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE,Full Time,DAY NULM KOKRAJHAR ASSAM,12-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2.0,25-05-2023,MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE DAY NULM KOKRAJHAR ASSAM Kokrajhar Assam Unpaid 3 Months
58,SOCIAL DEVELOPMENT OFFICER,Full Time,NULM,12-05-2023,Golaghat,Assam,Unpaid,Immediately,3 Months,5.0,25-05-2023,SOCIAL DEVELOPMENT OFFICER NULM Golaghat Assam Unpaid 3 Months
59,SOCIAL MOBILIZER,Full Time,DAY NULM TEOK ULB,15-05-2023,Jorhat,Assam,Unpaid,Immediately,2 Months,2.0,31-07-2023,SOCIAL MOBILIZER DAY NULM TEOK ULB Jorhat Assam Unpaid 2 Months
60,"MASS COMMUNICATION AND SOCIAL MEDIA, ON-BOARDING OF SHGS PRODUCT THROUGH E-COMMERCE PLATFORM",Full Time,DAY NULM GOSSAIGAON ASSAM,15-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,1.0,14-08-2023,"MASS COMMUNICATION AND SOCIAL MEDIA, ON-BOARDING OF SHGS PRODUCT THROUGH E-COMMERCE PLATFORM DAY NULM GOSSAIGAON ASSAM Kokrajhar Assam Unpaid 3 Months"
61,SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE,Full Time,DAY NULM GOSSAIGAON ASSAM,15-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2.0,25-05-2023,SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE DAY NULM GOSSAIGAON ASSAM Kokrajhar Assam Unpaid 3 Months
62,DAY NULM SOCIAL MEDIA HANDLE DEVELOPMENT INTERN,Full Time,Deendayal Antyodaya Yojna National Urban Livelihood Mission Goalpara MB Assam,15-05-2023,Goalpara,Assam,Unpaid,Immediately,4 Weeks,2.0,15-08-2024,DAY NULM SOCIAL MEDIA HANDLE DEVELOPMENT INTERN Deendayal Antyodaya Yojna National Urban Livelihood Mission Goalpara MB Assam Goalpara Assam Unpaid 4 Weeks
63,BRANDING AND MARKETING EXPERT,Full Time,DAY NULM TEOK ULB,15-05-2023,Jorhat,Assam,Unpaid,Immediately,2 Months,1.0,15-06-2023,BRANDING AND MARKETING EXPERT DAY NULM TEOK ULB Jorhat Assam Unpaid 2 Months
64,SOCIAL MEDIA EXPERT,Full Time,DAY NULM TEOK ULB,15-05-2023,Jorhat,Assam,Unpaid,Immediately,8 Weeks,1.0,15-06-2023,SOCIAL MEDIA EXPERT DAY NULM TEOK ULB Jorhat Assam Unpaid 8 Weeks
65,SOCIAL MOBILIZER,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",15-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,2.0,31-10-2023,"SOCIAL MOBILIZER CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam Kamrup Metropolitan Assam Unpaid 2 Months"
66,MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY INSTITUTION,Full Time,CMMU KAJALGAON DAY NULM,15-05-2023,Chirang,Assam,Unpaid,Immediately,02 Months,2.0,30-11-2023,MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY INSTITUTION CMMU KAJALGAON DAY NULM Chirang Assam Unpaid 02 Months
67,SOCIAL MOBILISER,Full Time,NULM,15-05-2023,Karimganj,Assam,Unpaid,Immediately,12 Weeks,2.0,31-07-2023,SOCIAL MOBILISER NULM Karimganj Assam Unpaid 12 Weeks
68,MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE,Full Time,CMMU KAJALGAON DAY NULM,15-05-2023,Chirang,Assam,Unpaid,Immediately,2 Months,2.0,30-11-2023,MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE CMMU KAJALGAON DAY NULM Chirang Assam Unpaid 2 Months
69,ENTERPRISE DEVELOPMENT OF URBAN POOR,Full Time,CMMU KAJALGAON DAY NULM,16-05-2023,Chirang,Assam,Unpaid,Immediately,2 Months,2.0,30-11-2023,ENTERPRISE DEVELOPMENT OF URBAN POOR CMMU KAJALGAON DAY NULM Chirang Assam Unpaid 2 Months
70,MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE,Full Time,Bijni ULB DAY NULM,16-05-2023,Bijni,Assam,Unpaid,Immediately,2 Months,1.0,30-11-2023,MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE Bijni ULB DAY NULM Bijni Assam Unpaid 2 Months
71,FINANCIAL INCLUSION OF URBAN POOR - INDIVIDUAL AND SHG,Full Time,Bijni ULB DAY NULM,16-05-2023,Bijni,Assam,Unpaid,Immediately,2 Months,1.0,30-11-2023,FINANCIAL INCLUSION OF URBAN POOR - INDIVIDUAL AND SHG Bijni ULB DAY NULM Bijni Assam Unpaid 2 Months
72,"URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,DAY NULM KOKRAJHAR ASSAM,16-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,1.0,13-09-2023,"URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR DAY NULM KOKRAJHAR ASSAM Kokrajhar Assam Unpaid 3 Months"
73,URBAN WOMEN EMPOWERMENT,Full Time,CITY MISSION MANAGEMENT UNIT DAY NULM TINSUKIA,16-05-2023,Tinsukia,Assam,Unpaid,Immediately,8 Weeks,5.0,31-08-2023,URBAN WOMEN EMPOWERMENT CITY MISSION MANAGEMENT UNIT DAY NULM TINSUKIA Tinsukia Assam Unpaid 8 Weeks
74,MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY INSTITUTION AND ENTERPRISE DEVELOPMENT,Full Time,Bijni ULB DAY NULM,16-05-2023,Bijni,Assam,Unpaid,Immediately,2 Months,2.0,30-11-2023,MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY INSTITUTION AND ENTERPRISE DEVELOPMENT Bijni ULB DAY NULM Bijni Assam Unpaid 2 Months
75,FINANCIAL INCLUSION OF URBAN POOR - INDIVIDUAL AND SHG AND FINANCIAL MANAGAEMENT OF SHGS AND ITS FEDERATION.,Full Time,DAY NULM KOKRAJHAR ASSAM,16-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,1.0,13-09-2023,FINANCIAL INCLUSION OF URBAN POOR - INDIVIDUAL AND SHG AND FINANCIAL MANAGAEMENT OF SHGS AND ITS FEDERATION. DAY NULM KOKRAJHAR ASSAM Kokrajhar Assam Unpaid 3 Months
76,SOCIAL MOBILIZER,Full Time,DAY NULM TITABAR ULB,16-05-2023,Jorhat,Assam,Unpaid,Immediately,2 Months,2.0,15-09-2023,SOCIAL MOBILIZER DAY NULM TITABAR ULB Jorhat Assam Unpaid 2 Months
77,BRANDING AND MARKETING EXPERT,Full Time,CITY MISSION MANAGEMENT UNIT DAY NULM JORHAT,16-05-2023,Jorhat,Assam,Unpaid,Immediately,2 Months,1.0,31-07-2023,BRANDING AND MARKETING EXPERT CITY MISSION MANAGEMENT UNIT DAY NULM JORHAT Jorhat Assam Unpaid 2 Months
78,SOCIAL MEDIA INTERN,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",16-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,1.0,15-06-2023,"SOCIAL MEDIA INTERN CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam Kamrup Metropolitan Assam Unpaid 2 Months"
79,SOCIAL WORK INTERN,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",16-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,2.0,15-06-2023,"SOCIAL WORK INTERN CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam Kamrup Metropolitan Assam Unpaid 2 Months"
80,SOCIAL MOBILIZER,Full Time,DAY NULM MARIANI,16-05-2023,Mariani,Assam,Unpaid,Immediately,2 Months,2.0,20-11-2023,SOCIAL MOBILIZER DAY NULM MARIANI Mariani Assam Unpaid 2 Months
81,SKILL AND CAPACITY DEVELOPMENT INTERNSHIP,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",16-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,3.0,15-06-2023,"SKILL AND CAPACITY DEVELOPMENT INTERNSHIP CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam Kamrup Metropolitan Assam Unpaid 2 Months"
82,SOCIAL MOBILIZER,Full Time,Haflong Municipal Board,16-05-2023,Halflong,Assam,Unpaid,Immediately,2 Months,5.0,20-08-2023,SOCIAL MOBILIZER Haflong Municipal Board Halflong Assam Unpaid 2 Months
83,URBAN WOMEN EMPOWERMENT,Full Time,City Mission Management Unit Diphu DAY NULM,16-05-2023,Karbi Anglong,Assam,Unpaid,Immediately,8 Weeks,5.0,31-08-2023,URBAN WOMEN EMPOWERMENT City Mission Management Unit Diphu DAY NULM Karbi Anglong Assam Unpaid 8 Weeks
84,NULM INTERN,Full Time,Silpathar,16-05-2023,Dhemaji,Assam,Unpaid,Immediately,8 Weeks,5.0,27-06-2023,NULM INTERN Silpathar Dhemaji Assam Unpaid 8 Weeks
85,"URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,DAY NULM GOSSAIGAON ASSAM,16-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2.0,27-05-2023,"URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR DAY NULM GOSSAIGAON ASSAM Kokrajhar Assam Unpaid 3 Months"
